_id,actual,predict
1tNJrcVe6gwLEiZCtprs1u,summer,summer
0QQIhT6PtJ5glyn4HKNKQ6,rainy,autumn
3Mgc6hFpByowXDImggLF8S,summer,summer
2XWjPtKdi5sucFYtVav07d,spring,spring
2xVzhDbm7uJq8XboeqqY0J,spring,spring
4ek3pPdfvIbPxynmlisI0k,winter,summer
0X9HXPDjQNtzdkHpTJ2UUC,spring,spring
2s3cLlYJ45K02djaHIwxUu,rainy,autumn
4kCSKIFIBo9DMtslnz3tMY,rainy,rainy
2DSpDVCcp0nfOkuhPUdero,rainy,winter
7d06uajfr1DZUeKVCaE9BS,summer,summer
6tp18AVA4FEjFTYaSD8exB,rainy,rainy
4NTNCUQRhHsKIJ8Bbf1kHh,winter,autumn
6ZrOBKUVZXhrUp9388yopW,summer,spring
3cQmqM0awej9iAESjhKrI9,winter,winter
0KTfZWEWivacSuZSjUe7JS,summer,summer
4luBGXcgpFQPPAtcF4zEdv,spring,spring
4VywXu6umkIQ2OS0m1I79y,summer,summer
41yIvlFgvGwxq8qTqAR7eG,rainy,autumn
5mo9cqdFYQDHDBaYT3rYZe,summer,summer
6KU6vpV7R8B52d7sgdNHiE,summer,winter
04BwBjVvvHshN9RbqNXfWQ,rainy,rainy
4dkoqJrP0L8FXftrMZongF,autumn,autumn
71O1jD7bF3cdMPvPi186V6,autumn,autumn
35FrTrB3SRaSuz94x9SxRD,rainy,rainy
7cLGZ3hU4ZYcJ3BzFujWuM,summer,winter
2MuMxAjqOZ2yGRXiUSYgje,spring,rainy
6cSsWi1c3ewIEmbqdUWsUM,winter,autumn
4yGXZOO0im1NZgImpprQcy,spring,winter
3vfzBtQYt9hbwVnHtmUVxH,winter,rainy
7bt5kLZihTKWaS86lYvj3g,spring,spring
1FBuBhNZ8dmjUBWR58UOQv,rainy,rainy
5pGCxazPxShO5jBpOyM85f,winter,autumn
7DF2SSCuHoniuh5sPeMvkv,winter,autumn
5xZYbdhg7rQQ9S1w8mozbU,winter,autumn
1gmarFWgSwb4SWlmqDjWka,spring,spring
7A0T4eb6jPhhQp3KQis6ww,rainy,rainy
4zRdmcE23a3LTVBTH1TtlP,spring,spring
209g8XrYu3ov4Wt4bRk2Yw,autumn,spring
1as1HN1p45h1NxBzXDiyVm,rainy,rainy
2uatFg68ynGEapEel9ASuK,winter,autumn
6DoYk3QIvkDs60S1d01vbx,summer,spring
5L79aNYCTKiZq7vaOElXYj,summer,spring
4Q66chx9WzqWcLItXoZ5r4,autumn,rainy
6CAg2oH5EEZnXHS0PD2e7C,spring,summer
5VyDhDfrTZuywIydd5R7j2,rainy,spring
0y1QJc3SJVPKJ1OvFmFqe6,rainy,rainy
3KZVWVH4epY2JGaqRs8bqg,winter,autumn
32cHleNk6n0RIVJMF4Q8LU,summer,winter
1hrQFVuMxyeTzRrP6YTf65,summer,spring
5Hp3iE6mv7aqfOOojBqUwi,autumn,rainy
386RUes7n1uM1yfzgeUuwp,summer,summer
7tvURb3EutC5eHJQ1QoNTq,winter,rainy
2uknzFIMqcBBAszfY8IBht,summer,spring
4RxyIfOAN8HsjBBoKKt0A4,rainy,rainy
4mu1L0HvElbEMVoVGO4mif,winter,autumn
4ZLzoOkj0MPWrTLvooIuaa,rainy,rainy
0Bcg7P1tTblLpEYjXPj2h0,rainy,autumn
3ksCO7ycQY9iKoYVD2tyie,winter,summer
4G1riMW9K3O9nI49UawBIX,winter,rainy
1Gv8dvKmkHVaB1edYvW0Fr,rainy,autumn
1CjvcxzHY3tbv63jui6y8A,summer,spring
2SYWArhFYrwDYm0gM1aonU,rainy,rainy
3H4SQPQVJ4birjwbMMuYlY,rainy,spring
4Jz4bjXeiF2SXVj9P4YfY5,summer,summer
2kWowW0k4oFymhkr7LmvzO,spring,summer
1F6IbA7di42uPc3cff8PXV,rainy,rainy
3RGAhxCAAWWbIuqDVTl81m,rainy,rainy
2Nz6aF1umHh5Et6I5H581L,summer,summer
601KiLiZtBJRTXBrTjeieP,autumn,winter
55m9hEzL2aFbSdyjtziaNW,rainy,rainy
18UsAG7SfOQ5sxJEdjAMH0,autumn,rainy
0wgueLX4JbTtRsGI9u4FNv,autumn,autumn
1hwSyhPlmRgiOHg7MiFXbu,spring,spring
61Pv0LnfmkpCFliB8vhPmd,summer,summer
48bo7uexDvAThcRDvEB2W7,autumn,summer
13VWHWIIVckG3bHq6oduFJ,autumn,autumn
6YgL4YfMhGi2JzHAxBmfVx,summer,summer
16XeptMdlJTWWeIrwEAOvv,winter,autumn
3vHyTNzQWkEg6HfVtCRZbZ,winter,spring
5F55SiWwEEytk6vsQXHxQW,winter,rainy
2sbtixigDCbjXBTMRSEECS,spring,summer
0TB0IZNI3Jzn2B1kq5ZBtH,summer,summer
7LZN7FkxHZk6maiN6NdI2i,autumn,autumn
2NECH8o0PDzujirUFh8fRH,summer,summer
3kl0x96aqexH75Xukmz2Mo,winter,winter
2STQAr3BRiAeeveJ07gZh7,summer,summer
3peQef3lNkqNDymEtTTrZI,winter,rainy
7kG3DPhoPsltuT0vxENI6E,winter,summer
5JcdPT5IDdDlWKT43jNzWu,rainy,autumn
4i3WfcMxYqWy25UYb8gERh,spring,summer
73DA64XbPpafrOo9kY9jmF,spring,spring
5VXfmJCv35AnhptB32msNf,winter,spring
7iEUCNrdblFxx5TSCLufVN,spring,summer
4Zls4nFdhCUxQ9YQOMjf6d,winter,rainy
0E0JKMR4uiCZhpI3brAoxI,autumn,spring
4wvFbcXv7W7fXjpoyNYYdj,winter,winter
6Nle9hKrkL1wQpwNfEkxjh,rainy,summer
6AQ3guMjWgetjRpQASwrE5,rainy,rainy
3B8TBGV0upObaUd9z4O9W8,summer,spring
4cTPtlhSo6NDdOe1fXzx1N,spring,rainy
2RttW7RAu5nOAfq6YFvApB,rainy,rainy
5FR7kPfV0yEnZhxvqVty8e,spring,spring
5dy4Y3XTBSf9gRmaTWtBVK,spring,winter
6NmBxhsmVjv0PMgh8aJhuw,summer,winter
745H5CctFr12Mo7cqa1BMH,summer,summer
30wUXhH7EUK84rVYN24KyF,rainy,winter
2NYPCh5sEiXsNhvNIjYIhA,rainy,winter
60pHETtVZP4hddnCg1sKpb,rainy,rainy
2nGFzvICaeEWjIrBrL2RAx,summer,summer
05FqZMpneCoWc3FUxMLCLG,rainy,rainy
4CALLtGlZBwdpfQvMQvhH2,rainy,rainy
6nY9qOQWEAqdy0rV29Atii,winter,autumn
33BnSMHgX0AsbKSIbkuMwh,rainy,rainy
2Pr1nZpt8A8WP7QYpyq6L3,autumn,autumn
4dF34N2GqCY7CufabXEfOZ,spring,spring
6HQOdicRpXiqLbOMQl8kWg,rainy,rainy
4LB5cNN7f18wIJA2RU4iIO,winter,winter
1uKzAldJYlwje9HstlwTie,autumn,winter
4y0MAy2m1o1WySP2fPrG5B,winter,spring
2usxlq3HMoUynmkLxADoLJ,summer,summer
3DHuFJY6nkvGiS0h4V2U35,autumn,autumn
0aSW5EMeNnQSMJQ8QN3zIW,summer,summer
51ChrwmUPDJvedPQnIU8Ls,spring,summer
2N30I9CRxidYUM76s3NlEW,rainy,spring
5MX4VZkiJafcUk5gCZ0cil,spring,spring
6r6HX1RulcgrtAHqGRadl1,autumn,summer
05xA64s3UzOOmAnh9SIIjn,winter,winter
6XaqawNmeeScjVLAv4Fx6l,rainy,spring
12PPtN6iHLnPVKuVzxfWSM,rainy,rainy
3FFKTnkWaGLBeyqtDSc4a8,autumn,autumn
7GbAp0HKPQW7WnFJAzMoRk,winter,winter
7oAi2YZtXCqjiwJYNDtJ2L,spring,spring
2vcwh4UGbHy3gkhCEvBDMn,winter,summer
601913bnwOH19HblKXMr2d,winter,rainy
0e7PRXTHY9Sj83zXovImvw,summer,summer
60VyRDvpbh19HXdri04PN3,winter,autumn
0ZYYrplZzr5H9QbBMj7T1a,summer,spring
7GWaGnbGZEg1Pquhr07cVz,spring,winter
5mY7E0YdZ5vBWSrY779MM0,spring,spring
254bXAqt3zP6P50BdQvEsq,autumn,autumn
5f1joOtoMeyppIcJGZQvqJ,summer,spring
4ITneFMCT6rbgNXRDIxl1K,summer,summer
3eGsNpXzcb1BDkfSJI54NY,spring,summer
1aQZKoiKKH8Y7bz0C18BGv,rainy,rainy
03M1LJKDmsBsUpT8YbGtJr,summer,summer
3AhXZa8sUQht0UEdBJgpGc,autumn,summer
11HXGSToW21uxNRl8kKBbu,rainy,winter
4CmumTJeNPBmXYOhSI5D2L,rainy,rainy
4y6sUWPw0XzCb8RodaNSPY,spring,rainy
16umSNZfofRpDqTvf8DIAo,rainy,rainy
1rfGO3N4DPGodJLSSY9Re5,spring,spring
50kMtdotEu2XL77QOOyBqN,summer,summer
7hxZF4jETnE5Q75rKQnMjE,autumn,rainy
6vi4I2vZkN5mDePmVSSVTq,summer,autumn
4z8Lp7x5rPX1oDYd8ct2qz,rainy,rainy
2WIx7xWSjoaARZLGqpxcQY,rainy,autumn
14UvqLsdqw2dsmVkmTYptE,winter,winter
4Sdtgs2J8uSwvM2l0ZEVad,rainy,rainy
7wXJCNAJd6W6PeWTkF2znZ,spring,rainy
5n16dEoZ1OwdpqOIK13m1X,rainy,rainy
5gqcOwKXxGTth8CUfN8woT,rainy,autumn
0SQ8zZfUSnMFRYqMHZLkz4,spring,autumn
7as88HhLbDLgobaSbJrVBs,autumn,autumn
1d7WWJgcdqPVpcatkvL32a,rainy,rainy
5pS3mFKoatVoAVY7lEZ9nd,spring,spring
0RSnfG4EUDcNiptAhUY1VG,summer,spring
4Yq07EKmSWig74pICwIxPh,winter,summer
3yrSvpt2l1xhsV9Em88Pul,summer,summer
75YUnz58ajMo2VIIuUFvOV,rainy,winter
6RLCQkGIeLR7aoaozvheNT,autumn,winter
2RG22MnkRzrPNAyc0eFn8w,winter,rainy
2x8evxqUlF0eRabbW2JBJd,summer,summer
1eqK5xetA9qkvZ8AMTjLt5,autumn,winter
4qov4NauMMEyqZGLzK4ezu,spring,summer
5NapgDKYBH3X7aTGMzAhnI,rainy,rainy
4SpVCOrSfXuDTnpInrNhzU,rainy,autumn
4nlvKIIetOWGIMyhjQXgOZ,spring,spring
7BbAqle8lyB3S56Q9MPTZB,autumn,winter
3fMbBYxJrFX6HxPILnzQaf,winter,spring
4YIwhPKfZKggNaysGUjgi7,summer,spring
5h6PpHaz6kfQ0SVIBk6qsp,winter,winter
0KbPGoZfbrbsqncQcW9IQy,spring,spring
0De8H4o9xzPtjRp9dns0L5,winter,autumn
3uN39QYDbokzRJxtxRXNbt,winter,autumn
7AUOZzM5P8UDuA0zga0PP8,autumn,winter
7shVwhUdVbHpykOfbzvDc1,autumn,autumn
7fFZoVcMhduCwCotEB84Ej,winter,winter
49X8pWDpmFpAITVUaudkcN,summer,summer
7lgvGRC1gN0JGgY9VGXsQT,summer,summer
2k9N4caeCIJLOWwWwssrEM,rainy,winter
1wYsMQUq5Qyc2xndsf1xLU,winter,rainy
7evUPABneVddplechlReII,rainy,rainy
7o1sqq09bkaTT1DmE6t52P,rainy,rainy
45FrYVS9BScbfO8lujdsW0,summer,summer
1mXB4iHWsfCmjO5mCUf3Ts,rainy,rainy
5qC17VMNoZdF2gAw28FtsV,rainy,winter
2J8h6CYjgekMZ6YLzNxG1g,spring,spring
4zYloXZV6NwiwXenBTc9DI,autumn,winter
5dTcUe0Kq9as0JDI9ZlwES,summer,spring
1hlveB9M6ijHZRbzZ2teyh,summer,summer
0zbzrhfVS9S2TszW3wLQZ7,summer,winter
3scMLJLse943ZyJEUuQB4Q,spring,summer
2VlLbhGLVJgdOW7kKdWWFc,rainy,rainy
3eR8yTgCxlQT2k5yZ6KcpG,autumn,rainy
3G9ETaH55bMQx8hwNhAgbU,winter,autumn
0Ceozg27V0Ws9jgQixD8fr,spring,winter
57tJJtDzZ8jt5AZDwQFhaZ,summer,rainy
5jKBxNnQEs2gOtQkyBJF2z,winter,spring
4bSkmuMv8cvJv4eZIaZqoQ,rainy,rainy
71XtMB6cia46cfpTHhs4ln,spring,spring
79Dl8iYn0PFQG2wqDxPlQU,summer,summer
1WXVfFRD89EtVURD4Tbixo,autumn,autumn
2pClJ2sX3lMEXUG6FUaRqO,spring,summer
5gWwWWTjz9t4rpFLiw7YhC,rainy,rainy
1KYafGuZHtCV5hYdmdX6ok,winter,rainy
5HDPqhIwobIADhPcdFxywZ,summer,summer
4Us6nbNAIuZWaZrNtbgiwq,rainy,rainy
263aNAQCeFSWipk896byo6,summer,spring
3MR0pzlcaLtpgF35hriobw,rainy,autumn
4Kc2nWDi7D3OwlXPShtHmN,spring,spring
5G68puTBJzWYtd4pjqGtKg,summer,summer
6A9mKXlFRPMPem6ygQSt7z,summer,summer
53hq57oY7RenB5UF8J3XTc,rainy,rainy
1Dl2e9b1bmxlCX5Pn8Br72,summer,spring
0AAqQ211XxLjnml88Otvjf,autumn,winter
2cP37n7TZEe0oBxCbZu0KA,autumn,rainy
1YQFEuN895DcW70nEcBWIp,spring,spring
6NbLlTH71bOgfTtFVY9HRm,spring,spring
6pSsqJusCnt6BagIXPaCRh,spring,winter
6et5fyZqccUY6b2xvt10Dj,winter,spring
1bDbdvmz2wmz2YzVUeW7Em,rainy,rainy
11KJSRSgaDxqydKYiD2Jew,summer,spring
32rHadAy6b8xYgSq22C0r8,summer,summer
0qJ6owHt00MMZTpNmNsPHC,autumn,spring
5jaAPFn3i4N0h1MF7SRdR7,spring,winter
6F2czMu3r2orV7CR3uMfqE,winter,autumn
64VTliGSiJ2wZiafHC1PHF,rainy,rainy
28wGX1hoLCRbBZbEqITvE3,summer,summer
3jSCUQRpZodtGLzSkaidl1,winter,autumn
2SbxV7nqgjIwgyibuUl9w3,spring,spring
1W0OCrMsRP1SLTEdw3JwEz,spring,autumn
0xVrusjXiWhqSQ5dPoiiWX,rainy,rainy
71qR03VPn762lG8esdRmkR,spring,spring
1vG6jMgSoqT3zG9tuDrL2E,rainy,autumn
4cxMGhkinTocPSVVKWIw0d,rainy,rainy
6GRDI9suQHikFP6euIXnpq,summer,rainy
0OBgXZKsDNt87iRLduSTVQ,spring,autumn
7iQmjnDXYngWGsbjVnDc1U,rainy,rainy
0WeqauIUZSjsupDGXsXWsP,winter,autumn
0R3OnUm6RgIpRFcckCoi0x,winter,rainy
331Luqg2J3vuwmTcmDrucW,winter,rainy
3UoULw70kMsiVXxW0L3A33,winter,winter
2bf9J3LquCKWRXDSP4Lsw8,autumn,rainy
694vvR5o19xHPhhJ5QdLN7,rainy,spring
5W6e9TaxWLcmoJ3lDj2dD2,rainy,winter
3j6r6hzRqFPiwCskWr7KRY,spring,spring
1NYA6LfA32aIrqe8KCSTf0,winter,spring
1jyddn36UN4tVsJGtaJfem,summer,summer
3FmGVePfqBiM5XESN35ZHK,autumn,rainy
21Wmv5UWeFRYil2WwHd25v,spring,summer
3VzULnaqPKf1deQyZ5W4Ah,autumn,winter
4AFGAXKRA8XpLnWJBlDCkC,spring,spring
0bZ52QzCCKfrfOqs7za6lI,winter,rainy
1T2iBTY4Aiz6Yd8CEFLA9A,winter,rainy
1Kz9Suh6sCgvj4ZgknZKTt,summer,spring
3NZPtAkCuc2IoBWaZETXDl,winter,autumn
5FnpXVgDOk2sLT58qM22Of,autumn,rainy
3KS09EvUKTtPgTHbBBsLCw,rainy,spring
7zgND5V108SCIwjhLZD6i0,rainy,spring
0My8NPmENHrN5W7OfgZnZJ,autumn,autumn
4q5wLM3iL7FyXD3Gf8VTrh,autumn,autumn
1brwdYwjltrJo7WHpIvbYt,spring,spring
6vjaNvfDDaG4DHrys3brKs,autumn,rainy
4PGWramunj3Bsz5UXCu4ex,autumn,rainy
0zJBVh81kuPLo8ZP0Uvqli,rainy,rainy
3yhlH8lhTpS03d91kuwjpf,summer,winter
5mE2RcGPPbE4gNoLB6FYPf,winter,spring
3UzvFIyu5qdRepwJViDwjN,autumn,winter
6dHkH0E2qffTPJj1lVfXqA,autumn,winter
5DwjhYqW5Gtyej98tZANwp,spring,spring
3SdTKo2uVsxFblQjpScoHy,summer,winter
4nI8e3fy1hHvhCvJURv5JI,summer,summer
3xGmbotxgSltJ5qHX7aZfe,autumn,autumn
3tetL39HqDX1sPDjfpGUkn,autumn,spring
0A3BuQcAW24jGJcCI7YifZ,autumn,autumn
3izXOElIdjlG2iqbn90SwN,rainy,rainy
1t7fpZ3yy39EXWMnWA2LkA,rainy,winter
2uJVXfbodsRkHlz6OpeOui,spring,spring
5Ss6DqCldgTmIo6BekVOJT,winter,rainy
6XW2rKHwNnX5qzk79Qis9w,rainy,rainy
3eHumvv1LTzCwtFUJKF09v,rainy,rainy
1gxrzphu3xwlZAQhtvNBMK,summer,summer
6PmsHVre2N9yOjDge00r9c,autumn,winter
5C06WBrvAK5QRxLR8NBheU,autumn,autumn
4uVjWDcL0Ta5TEH3g8TiRH,winter,winter
3ZHfX6kbiY7JVsB63lLOLu,rainy,winter
4XI5GjQ6zcJXsDnuyOGGEa,summer,summer
4xmeLj3uVcoAwgDtwM4MbG,autumn,autumn
4F1AgKpuFRMLEgtPETVwZk,autumn,autumn
48IFVeJwU8katluOdD7kgs,autumn,autumn
60ooMa1yzfKIl1Nf4O1GI5,spring,summer
6tuZKBiS1p6Ig0UtC0ii0Y,rainy,rainy
5P2bHCDM2tsgIaYWsZMhu5,winter,rainy
7xy4zWufOPUI6RDG0l4nZL,winter,spring
12GEv3kB19M52HvybQ6maU,winter,summer
7ydeKIGuAdxqkp7OsWGZx6,rainy,rainy
0YJYN8WtaAPANXlKk3bhkM,winter,winter
7kFiu7h1Dlbx4DjQznA5MJ,autumn,autumn
76fJ8AFl4mMcBcvpMnTrEK,winter,autumn
6PktsUMUtMAu8GRTmeH9Vy,spring,spring
4bhYGwjet01O0bjHhR1GDm,summer,spring
4l6fpsnNvqtew87q8JvTIe,summer,summer
5S3NpJBqacEUrxceiAy5lI,winter,rainy
0Psz3az3RIYfJpnsajBT8N,rainy,winter
59YzK7zTRUJfIwjbi8uJ9P,spring,winter
7uYoGfPO7W63mFcwnB1jqY,rainy,autumn
52APn0QJbjtcHRK0fiXpL6,autumn,rainy
34hoCwSsssai61QCqzGYtX,spring,spring
6CES1554HcWMIVroJfmmBm,spring,spring
1KDkSCXJIR4CJaVUK9qP7O,winter,rainy
788U1Sqej9M6c4iikuDGxO,spring,summer
5paV1HdDnuIzbQDKM3rsKm,spring,autumn
6qYmf2NjhDfsF7x5U5DUOf,winter,winter
6wZI4mdT8JwXgkGURnBQiq,summer,autumn
4k7x3QKrc3h3U0Viqk0uop,winter,autumn
3nPEEH0Ex7mUSLY53ezySF,autumn,winter
3m7V717IKZqZLW5qUIOxdD,autumn,autumn
5QXqz1KDz8Z8DmfQoxWmmy,autumn,autumn
4SNlufpg8PmrMmeS2luHcK,winter,spring
1FJrsh1NbV9eRw5JQt3M4e,rainy,winter
3HYUoBfxI2o66tUBQ5vhs0,winter,winter
51PIvodunv6NmX5250zxAh,spring,spring
4w2PVrdJFccHVuPziZNt92,rainy,autumn
2ZRBKVRMQ9OK4EeTaMHHSY,autumn,rainy
51u7yLW7hAKJiD8U8ISJu7,autumn,winter
3o69rLQSxTrltNxGLisL4R,rainy,autumn
0Ma3HnDcmCSbjv3uu3aIPO,autumn,rainy
3JxaZPq4UjkOaxnpyMUtAC,summer,summer
4OIUhsq4e7eowOgWAZYiF5,winter,winter
51hFsnpcEIwqUqOGBlg68f,winter,autumn
5CXexDkpRC20VX2w0iQ3Ur,rainy,rainy
0cx32rX0uZvcJUP92Wkj2y,summer,autumn
6g4lnHk74U4prQ3mcZEhkB,rainy,rainy
2fuMHvkhJNX1qyeOv9vxru,autumn,rainy
